tweet_id,label,root_tweet_text,clean_text
10,real,.@WHO will keep working side-by-side with #China and all other countries to protect health and keep people safe. #coronavirus https://t.co/WGadkXEpP5,who will keep working side by side with china and all other countries to protect health and keep people safe coronavirus
11,fake,"""Vitamin C Protects Against Coronavirus... Physicians have demonstrated the powerful antiviral action of vitamin C for decades. There has been a lack of media coverage of this effective and successful approach."" https://t.co/ndQd38zIOw https://t.co/jFjUNRTEHo",vitamin c protects against coronavirus physicians have demonstrated the powerful antiviral action of vitamin c for decades there has been a lack of media coverage of this effective and successful approach
12,real,"Yesterday I visited Beijing with @DrTedros and @DrMikeRyan to discuss the novel #coronavirus outbreak. We met with President Xi, the Minister of Foreign Affairs Wang Yi, and Health Minister Ma Xiaowei.  https://t.co/1NC9f6eXbG",yesterday i visited beijing with drtedros and drmikeryan to discuss the novel coronavirus outbreak we met with president xi the minister of foreign affairs wang yi and health minister ma xiaowei
13,fake,"Fake emergency notification from @MoHFW_INDIA is doing rounds on social media\n\nNo such notification has been issued !!!\n\nFor prevention against #Coronavirus and travel advisory, pls see:\n\nhttps://t.co/ybsKk8c5tC\nhttps://t.co/qnK1JCVhmI\n\nFor Queries on #nCoV : Call +91-11-23978046 https://t.co/UuRhm1ZiA8",fake emergency notification from mohfw india is doing rounds on social media n nno such notification has been issued n nfor prevention against coronavirus and travel advisory pls see n n n n nfor queries on ncov call
14,fake,"Fake emergency notification from Ministry Of Health and Family Welfare is doing rounds on social media\n\nNo such notification has been issued !!!\n\nFor prevention against #Coronavirus and travel advisory, pls see:\n\nhttps://t.co/rM15CZBCpV\nhttps://t.co/XTLSzqDbDc https://t.co/c2EdDqIZxA",fake emergency notification from ministry of health and family welfare is doing rounds on social media n nno such notification has been issued n nfor prevention against coronavirus and travel advisory pls see n n n
15,fake,"#Thread🚨: Since the outbreak of #CoronaVirus, we have debunked #FakeNews around the novel Coronavirus. A WhatsApp forward is viral falsely claiming @MoHFW_INDIA has issued an emergency notification. (1/n) #CoronaVirusFacts @WHO  \nhttps://t.co/0lbBu7FIfO",thread since the outbreak of coronavirus we have debunked fakenews around the novel coronavirus a whatsapp forward is viral falsely claiming mohfw india has issued an emergency notification n coronavirusfacts who n
16,fake,Coronavirus hits the UK: Two English patients from same family test positive for the killer virus #CoronavirusOutbreak https://t.co/IybjTaHUT5 https://t.co/kcUHzOl9Oo,coronavirus hits the uk two english patients from same family test positive for the killer virus coronavirusoutbreak
17,fake,"""Vitamin C Protects Against Coronavirus... Physicians have demonstrated the powerful antiviral action of vitamin C for decades. There has been a lack of media coverage of this effective and successful approach."" https://t.co/Q8Z4traHuB https://t.co/EeyimyoyCg",vitamin c protects against coronavirus physicians have demonstrated the powerful antiviral action of vitamin c for decades there has been a lack of media coverage of this effective and successful approach
18,real,"#InfectiousDiseases A-Z: @WHO has given the #coronavirus an interim name, ""2019-nCoV acute respiratory disease."" @drgregpoland, director of Mayo Clinic's #Vaccine Research Group, explains the ecology of coronaviruses. https://t.co/j54B420y4h https://t.co/LRAlqNS8La",infectiousdiseases a z who has given the coronavirus an interim name ncov acute respiratory disease drgregpoland director of mayo clinic s vaccine research group explains the ecology of coronaviruses
19,fake,Here's how #WuFlu #corononavirus compares with recent outbreaks of other viruses via @businessinsider. With the exception of #H1N1 it has the lowest fatality rate \n\nhttps://t.co/nt6lZ9kCJc https://t.co/9rAUKqmDLc,here s how wuflu corononavirus compares with recent outbreaks of other viruses via businessinsider with the exception of h n it has the lowest fatality rate n n
20,real,"Another major epidemic, another round of @WHO begging,  covering the soaring costs to the grossly underfunded agency. Now it says it needs $675 million ASAP to fight #2019nCoV .\nhttps://t.co/xbV5ptCRbH",another major epidemic another round of who begging covering the soaring costs to the grossly underfunded agency now it says it needs million asap to fight ncov n
21,real,"For other regions follow @WHO &amp; daily SitRep https://t.co/9AYeR7CU8F\n\nNext week WHO convenes 🌏research forum on new #coronavirus epidemiology, clinical care, vaccines, therapeutics, diagnostics, animal health, social science etc https://t.co/ueRhOj2ng4\n\n#nCoV #nCoV2019 #2019nCoV",for other regions follow who daily sitrep n nnext week who convenes research forum on new coronavirus epidemiology clinical care vaccines therapeutics diagnostics animal health social science etc n n ncov ncov ncov
22,fake,"Meanwhile, rumour mills continue to churn. One report says China has sought court permission to kill 20000 patients to curb the spread of infection,because they're going to die anyway!! This is rubbish.But given China's history of secrecy, cruelty &amp; suppression, people are scared https://t.co/G2hOtdmphi",meanwhile rumour mills continue to churn one report says china has sought court permission to kill patients to curb the spread of infection because they re going to die anyway this is rubbish but given china s history of secrecy cruelty suppression people are scared
23,fake,"Several online stories inaccurately claim that the new coronavirus contains HIV “insertions” and shows signs of being created in a lab. But there is no evidence that the new virus was bioengineered, and every indication it came from an animal. https://t.co/xiE398MbL2",several online stories inaccurately claim that the new coronavirus contains hiv insertions and shows signs of being created in a lab but there is no evidence that the new virus was bioengineered and every indication it came from an animal
24,real,"We must harness the power of science to bring the #2019nCoV outbreak under control. In support of rapid evidence-based action, @WHO is co-organising a global forum to accelerate research and innovation for the new coronavirus from 11-12 February in Geneva. https://t.co/NNd359dUdk",we must harness the power of science to bring the ncov outbreak under control in support of rapid evidence based action who is co organising a global forum to accelerate research and innovation for the new coronavirus from february in geneva
25,real,To accelerate research and innovation for new coronavirus @WHO https://t.co/AwWhrWqY6a,to accelerate research and innovation for new coronavirus who
26,real,"In the spirit of scientific solidarity, 400 of the world’s leading experts will gather this week at @WHO HQ Geneva to prioritize work on all the tools we need, including rapid diagnostics, a vaccine &amp; effective treatments.\nhttps://t.co/NNd359dUdk",in the spirit of scientific solidarity of the world s leading experts will gather this week at who hq geneva to prioritize work on all the tools we need including rapid diagnostics a vaccine effective treatments n
27,real,"On my way to this meeting tonight, as scientific advisor of ⁦@GloPID_R⁩ and ⁦⁦@rd_blueprint⁩  https://t.co/xfNU4dCKUM",on my way to this meeting tonight as scientific advisor of glopid r and rd blueprint
28,real,"""We want you to know that we stand with you in solidarity &amp; we wish you courage, patience, success and good health in these extremely trying circumstances""-@DrTedros at the opening of the global research and innovation forum on #2019nCoV \n\nhttps://t.co/b8PKwexNee",we want you to know that we stand with you in solidarity we wish you courage patience success and good health in these extremely trying circumstances drtedros at the opening of the global research and innovation forum on ncov n n
29,real,👏👋 to all taking part over crucial 2 days @WHO to galvanise+accelerate coordinated #coronavirus 🔬🦠🧪research. 🌍Response-inc @CEPIvaccines -has been so impressive so far- and it has to be. https://t.co/my3voYw017,to all taking part over crucial days who to galvanise accelerate coordinated coronavirus research response inc cepivaccines has been so impressive so far and it has to be
30,real,World experts and funders set priorities for #COVID19 research 👉 https://t.co/pbHUgP5Fo9,world experts and funders set priorities for covid research
31,real,Over 300 scientists &amp; researchers outlined mechanisms for continuing scientific interactions &amp; collaborations beyond the meeting which will be coordinated and facilitated by WHO https://t.co/pbHUgPngfH #COVID19,over scientists researchers outlined mechanisms for continuing scientific interactions collaborations beyond the meeting which will be coordinated and facilitated by who covid
32,real,Scientists at the forum also worked with research funders to determine how necessary resources can be mobilized so that critical research can start immediately https://t.co/pbHUgP5Fo9 #COVID19,scientists at the forum also worked with research funders to determine how necessary resources can be mobilized so that critical research can start immediately covid
33,real,"#InfectiousDiseases A-Z: #Covid19 is the new name for the disease caused by the novel #coronavirus. The @WHO says that ""Co"" and ""vi"" are derived from coronavirus, ""d"" stands for disease, and ""19"" is the year first cases were seen. Learn more: https://t.co/H0p998URw1 https://t.co/juz7SjPTDp",infectiousdiseases a z covid is the new name for the disease caused by the novel coronavirus the who says that co and vi are derived from coronavirus d stands for disease and is the year first cases were seen learn more
34,real,"#COVID19 Priority research:\n📍the natural history of the virus, its transmission and diagnosis\n📍animal and environmental research on the origin of the virus, including management measures at the human-animal interface\n📍epidemiological studies\n(cont’d)\nhttps://t.co/tGXlbW1XvS",covid priority research n the natural history of the virus its transmission and diagnosis n animal and environmental research on the origin of the virus including management measures at the human animal interface n epidemiological studies n cont d n
35,real,Research is an integral part of the outbreak response; I appreciate the positive response from the research community for joining us at short notice and coming up with concrete plans and commitments to work together to end the #COVID19 outbreak. https://t.co/8Fr89fcoGW,research is an integral part of the outbreak response i appreciate the positive response from the research community for joining us at short notice and coming up with concrete plans and commitments to work together to end the covid outbreak
36,real,CDC confirms a patient under federal quarantine in San Antonio at JBSA-Lackland has been confirmed as infected with Coronavirus. This person has been isolated since arriving in town. This brings the total number of US cases to 15. \n\nhttps://t.co/0rWPubktxc,cdc confirms a patient under federal quarantine in san antonio at jbsa lackland has been confirmed as infected with coronavirus this person has been isolated since arriving in town this brings the total number of us cases to n n
37,real,@DrMikeRyan The full briefing on #COVID19 by @DrMikeRyan today 👉 https://t.co/kCPVS3Qo1M #coronavirus,drmikeryan the full briefing on covid by drmikeryan today coronavirus
38,real,.@CDCgov &amp; @TexasDSHS confirm new coronavirus infection in a person who traveled from China. Patient was in quarantine &amp; is now getting medical care. #COVID-19 is not spreading in the community &amp; the immediate risk to US residents is low at this time. https://t.co/US0rEZArNG https://t.co/f2RO04NTnS,cdcgov texasdshs confirm new coronavirus infection in a person who traveled from china patient was in quarantine is now getting medical care covid is not spreading in the community the immediate risk to us residents is low at this time
39,real,"At this time, two people among quarantined travelers returning to the US from Hubei, China have newly confirmed #COVID19 infection. We understand that this is a stressful, confusing time for people in America and around the world. For more on this update: https://t.co/LoJtXgUKMA https://t.co/MhKN8kO4Yq",at this time two people among quarantined travelers returning to the us from hubei china have newly confirmed covid infection we understand that this is a stressful confusing time for people in america and around the world for more on this update
40,real,15th case in the US of 2019 Novel #Coronavirus (#COVID19) https://t.co/lhTc5jPrMh via @@CDCgov,th case in the us of novel coronavirus covid via cdcgov
41,real,"In the US, surveillance for #COVID19\nwill begin in 5 cities using system now in place for flu. Announced as a first\nstep toward setting up national surveillance system https://t.co/lOvVVmjHjw (14/x)",in the us surveillance for covid nwill begin in cities using system now in place for flu announced as a first nstep toward setting up national surveillance system x
42,real,"The outbreak of #COVID19 epidemic: \nThe EU is co-financing the repatriation of EU citizens from the cruise ship docked in Yokohama, Japan. This is thanks to flights from Italy mobilised through EU Civil Protection Mechanism.\n\nMore on what the EU is doing: https://t.co/vLwUfXqNau",the outbreak of covid epidemic nthe eu is co financing the repatriation of eu citizens from the cruise ship docked in yokohama japan this is thanks to flights from italy mobilised through eu civil protection mechanism n nmore on what the eu is doing
43,real,New findings indicate coronavirus may be contagious even before carriers show symptoms -- making the outbreak even harder to contain. https://t.co/9TQPnrxCXl https://t.co/bgYMFL5jDJ,new findings indicate coronavirus may be contagious even before carriers show symptoms making the outbreak even harder to contain
44,fake,"#UPDATE Two more people died from the new coronavirus in Iran, infections nearly doubled in South Korea, and clusters surfaced in Chinese prisons Friday, rekindling concerns about an epidemic that has killed more than 2,200 people in China\nhttps://t.co/wWzc0Vm3i5",update two more people died from the new coronavirus in iran infections nearly doubled in south korea and clusters surfaced in chinese prisons friday rekindling concerns about an epidemic that has killed more than people in china n
45,real,"Statement on the EU’s response, preparedness and financial support to fight the COVID-19 outbreak by Commissioners @JanezLenarcic and @SKyriakidesEU ↓ #coronavirus https://t.co/qlgxcvYBlS",statement on the eu s response preparedness and financial support to fight the covid outbreak by commissioners janezlenarcic and skyriakideseu coronavirus
46,real,We are working around the clock to support EU countries and strengthen international efforts to slow the spread of #COVID19.\nWe announce today a new aid package worth €232 million.\nMore here → https://t.co/Esbpkw8XmX https://t.co/hTb4Ur8FPw,we are working around the clock to support eu countries and strengthen international efforts to slow the spread of covid nwe announce today a new aid package worth million nmore here
47,real,"We are working on all fronts to support efforts to tackle the #COVID19 outbreak.\n\nAs cases continue to rise, public health is the number one priority. Europe is here to play a leading role.\n\n🇪🇺 action → https://t.co/iWN2TDQlFA https://t.co/QDlHHTmqUD",we are working on all fronts to support efforts to tackle the covid outbreak n nas cases continue to rise public health is the number one priority europe is here to play a leading role n n action
48,real,"""We are moving toward SARS-CoV-2 being a #PandemicVirus,"" says @drgregpoland, director of Mayo Clinic's Vaccine Research Group. The virus has been named SARS-CoV-2, and the disease it causes has been named #COVID19. https://t.co/3Ptn3fF7eB https://t.co/LhclX9ORYh",we are moving toward sars cov being a pandemicvirus says drgregpoland director of mayo clinic s vaccine research group the virus has been named sars cov and the disease it causes has been named covid
49,fake,"@realDonaldTrump #1/  Really? 🤔\n\nA month ago a scientist already confirmed the Coronavirus will become pandemic. \n\nBased on simulations, it could kill as many as 65 Million people in the next 18 months.\n\nhttps://t.co/pIgqfmGo7C",realdonaldtrump really n na month ago a scientist already confirmed the coronavirus will become pandemic n nbased on simulations it could kill as many as million people in the next months n n
50,fake,"DHS Secretary Chad Wolf claims the mortality rate for coronavirus is similar to the flu, both at about 2%. Senator Kennedy says ""are you sure of that?"" and the secretary doubles down.\n\nThe mortality rate for seasonal flu is closer to 0.1%: https://t.co/Fo6nfQrbni",dhs secretary chad wolf claims the mortality rate for coronavirus is similar to the flu both at about senator kennedy says are you sure of that and the secretary doubles down n nthe mortality rate for seasonal flu is closer to
51,fake,DHS Secretary Chad Wolf claims the mortality rate for coronavirus is the same as the regular flu.\n\n2%.\n\nWrong.\n\n“Are you sure of that?”\n\nMoron says yes.\n\nThe mortality rate for seasonal flu is 0.1%.\n\nWe are so fucked by this Administration.\nhttps://t.co/1GbDvAIMZC,dhs secretary chad wolf claims the mortality rate for coronavirus is the same as the regular flu n n n nwrong n n are you sure of that n nmoron says yes n nthe mortality rate for seasonal flu is n nwe are so fucked by this administration n
52,real,Commissioner @SKyriakidesEU met the Italian Minister of Health and representatives from @WHO_Europe and @ECDC_EU in Rome to discuss measures to reduce the further spread of #COVID19.\n\nShe highlighted our absolute solidarity with Italy during this trying time. https://t.co/fpNHMKPLG4,commissioner skyriakideseu met the italian minister of health and representatives from who europe and ecdc eu in rome to discuss measures to reduce the further spread of covid n nshe highlighted our absolute solidarity with italy during this trying time
53,real,"@SKyriakidesEU @WHO_Europe @ECDC_EU “Given how quickly the situation can change, our public health care response across the EU must be ready to deal with increased numbers of #COVID19 infections and we are working to coordinate and align this.” − @SKyriakidesEU\n\nRead more here → https://t.co/D1GwEWIkHu https://t.co/4yQ3jNb0CI",skyriakideseu who europe ecdc eu given how quickly the situation can change our public health care response across the eu must be ready to deal with increased numbers of covid infections and we are working to coordinate and align this skyriakideseu n nread more here
54,real,What are the best coronavirus treatments?\nvia @techreview https://t.co/LdlSwN9AuU\n#coronavirus #coronavirususa \ncc @AkwyZ @evankirstel @jblefevre60 @IrmaRaste @_atanas_ @Paula_Piccard @chboursin @kuriharan @mvollmer1 @labordeolivier,what are the best coronavirus treatments nvia techreview n coronavirus coronavirususa ncc akwyz evankirstel jblefevre irmaraste atanas paula piccard chboursin kuriharan mvollmer labordeolivier
55,real,"We are working on all fronts to tackle the ongoing #COVID19 outbreak. This includes coordinating information exchanges among EU countries and ensuring a coherent EU wide response. The work continues at all levels, from technical to political. More → https://t.co/qqJiGdEDue https://t.co/uZRGITQl4v",we are working on all fronts to tackle the ongoing covid outbreak this includes coordinating information exchanges among eu countries and ensuring a coherent eu wide response the work continues at all levels from technical to political more
56,real,@ECDC_EU We stand in full solidarity with Italy during this trying time. The measures taken by the Italian authorities were important to avoid further spread of the #COVID19. \n\nA joint mission @ECDC_EU and @WHO in Italy is currently ongoing and will result in an updated risk assessment.,ecdc eu we stand in full solidarity with italy during this trying time the measures taken by the italian authorities were important to avoid further spread of the covid n na joint mission ecdc eu and who in italy is currently ongoing and will result in an updated risk assessment
57,real,"@ECDC_EU @WHO Viruses do not stop at borders. Currently, no EU country signalled their intention to introduce border controls at internal borders. The normal regime for checks continues to apply at the external border – with enhanced checks for those travelling from affected areas. #COVID19",ecdc eu who viruses do not stop at borders currently no eu country signalled their intention to introduce border controls at internal borders the normal regime for checks continues to apply at the external border with enhanced checks for those travelling from affected areas covid
58,fake,Oh dear 😬 https://t.co/zPwD6XU0UZ,oh dear
59,real,We continue to coordinate efforts to prevent and contain the #COVID19 outbreak in the EU. https://t.co/qCMof0lmOt,we continue to coordinate efforts to prevent and contain the covid outbreak in the eu
60,real,"@JanezLenarcic @ThierryBreton @SKyriakidesEU @DanaSpinant @eu_echo @EU_Health @ECDC_EU @europainitalia Italy has activated the EU's Civil Protection Mechanism, requesting protective facemasks. We have relayed the request to all EU countries to mobilise assistance. We are in permanent contact with Italian authorities and will do all we can to help. #COVID19 https://t.co/D0vHuxc9Vc",janezlenarcic thierrybreton skyriakideseu danaspinant eu echo eu health ecdc eu europainitalia italy has activated the eu s civil protection mechanism requesting protective facemasks we have relayed the request to all eu countries to mobilise assistance we are in permanent contact with italian authorities and will do all we can to help covid
61,real,"@JanezLenarcic @ThierryBreton @SKyriakidesEU @DanaSpinant @eu_echo @EU_Health @ECDC_EU @europainitalia We will conduct an EU-wide analysis of the effects of the outbreak on European industry and businesses and assess it in a month’s time. Meanwhile, we remain in close contact with all EU countries. #COVID19 More → https://t.co/krNLFHeFpG",janezlenarcic thierrybreton skyriakideseu danaspinant eu echo eu health ecdc eu europainitalia we will conduct an eu wide analysis of the effects of the outbreak on european industry and businesses and assess it in a month s time meanwhile we remain in close contact with all eu countries covid more
62,real,"THREAD: #coronavirus' Top Targets: Men, Seniors, Smokers\n\n“There seems to be this threshold -- below age 35 we’re seeing practically zero cases”s. “As people increase in age from their 40s to 80s, we’re seeing mortality increase.”\n\nhttps://t.co/OsY21Ct2e4",thread coronavirus top targets men seniors smokers n n there seems to be this threshold below age we re seeing practically zero cases s as people increase in age from their s to s we re seeing mortality increase n n
63,real,"The @CDCgov has confirmed the first possible case of ""community spread"" #COVID19 in the U.S., meaning the patient didn't travel anywhere known to have the virus and wasn't exposed to anyone known to be infected. https://t.co/tEP7V5tSFl https://t.co/o9KyXL4KeQ",the cdcgov has confirmed the first possible case of community spread covid in the u s meaning the patient didn t travel anywhere known to have the virus and wasn t exposed to anyone known to be infected
64,fake,Health experts hosted a fictional coronavirus pandemic three months before the actual coronavirus outbreak in Wuhan began!\n\nBiological materials were smuggled to a Wuhan university level 4 lab before the outbreak allegedly broke out at the fish market!\nhttps://t.co/9vKheLGCa9,health experts hosted a fictional coronavirus pandemic three months before the actual coronavirus outbreak in wuhan began n nbiological materials were smuggled to a wuhan university level lab before the outbreak allegedly broke out at the fish market n
65,real,"When it comes to coronavirus, who is the most at risk? What early data suggests: https://t.co/fNgzGOCiYM https://t.co/EZ8LrKUupy",when it comes to coronavirus who is the most at risk what early data suggests
66,real,The potential spread of the #coronavirus to countries with weaker health systems is one of our biggest concerns. @WHO thanks @UNCERF for releasing $15 million to help these countries battle the spread of the virus. https://t.co/4VlGKHhfNd,the potential spread of the coronavirus to countries with weaker health systems is one of our biggest concerns who thanks uncerf for releasing million to help these countries battle the spread of the virus
67,real,The fresh funds will help vulnerable countries prepare to:\n- detect and isolate #COVID19 cases\n- protect frontline #healthworkers who are most at risk\n- treat patients appropriately and with dignity.\nThe outcome will be lives saved. https://t.co/4VlGKHhfNd #coronavirus,the fresh funds will help vulnerable countries prepare to n detect and isolate covid cases n protect frontline healthworkers who are most at risk n treat patients appropriately and with dignity nthe outcome will be lives saved coronavirus
68,fake,Convoy of U.S. soldiers spotted heading through Grants Pass into Northern California in response to coronavirus outbreak https://t.co/PWwhamA80Q via @intellihubnews #MartialLAw #Coronavirus #COVID19 #pandemic,convoy of u s soldiers spotted heading through grants pass into northern california in response to coronavirus outbreak via intellihubnews martiallaw coronavirus covid pandemic
69,fake,Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients https://t.co/kHW8ewKppW https://t.co/bJg9FZT5RY,florida hospital reports a coronavirus infestation with multiple confirmed patients
70,fake,"SERIOUS EXCELLENT ADVICE by Japanese doctors treating COVID-19 cases. Everyone should ensure your mouth &amp; throat is moist, never DRY. Take a few sips of water every 15 mins at least. WHY? Even if the virus gets into your mouth...drinking water or other liquids",serious excellent advice by japanese doctors treating covid cases everyone should ensure your mouth throat is moist never dry take a few sips of water every mins at least why even if the virus gets into your mouth drinking water or other liquids
71,real,"Watch the press conference live from the EU Emergency Response Coordination Centre on the EU's response to #COVID19.\n\nWith @vonderleyen, @JanezLenarcic, @SKyriakidesEU, @YlvaJohansson, @AdinaValean and @PaoloGentiloni\nhttps://t.co/DBRYLt4tKc",watch the press conference live from the eu emergency response coordination centre on the eu s response to covid n nwith vonderleyen janezlenarcic skyriakideseu ylvajohansson adinavalean and paologentiloni n
72,real,"Today we are launching the Corona response team.\nWe are working on all fronts to support EU countries in preparedness, halt the spread of #COVID19 and protect the health of our citizens.\n\nPresident @vonderleyen ⬇️ https://t.co/nN4oNAmeDu",today we are launching the corona response team nwe are working on all fronts to support eu countries in preparedness halt the spread of covid and protect the health of our citizens n npresident vonderleyen
73,real,UN Humanitarian Chief Mark Lowcock today released US$15 million from the Central Emergency Response Fund (CERF) to help fund global efforts to contain the COVID-19 virus.\n\n#NCYT #COVID-19 @PrimerdesignLtd \n \nhttps://t.co/1Q5fdCd6oy,un humanitarian chief mark lowcock today released us million from the central emergency response fund cerf to help fund global efforts to contain the covid virus n n ncyt covid primerdesignltd n n
74,fake,"Viral Facebook posts use a photo of a vaccine for cows to falsely suggest that the novel coronavirus isn’t actually new, alleging it is proof of “how much the media controls people.” The cattle vaccine has nothing to do with the COVID-19 virus. https://t.co/RvDffWAbSM",viral facebook posts use a photo of a vaccine for cows to falsely suggest that the novel coronavirus isn t actually new alleging it is proof of how much the media controls people the cattle vaccine has nothing to do with the covid virus
75,fake,"Facebook posts use a photo of a vaccine for cows to falsely suggest that the novel coronavirus isn’t actually new, alleging it is proof of “how much the media controls people.” The cattle vaccine has nothing to do with the COVID-19 virus. https://t.co/RvDffWiB1e #CoronaVirusFacts",facebook posts use a photo of a vaccine for cows to falsely suggest that the novel coronavirus isn t actually new alleging it is proof of how much the media controls people the cattle vaccine has nothing to do with the covid virus coronavirusfacts
76,fake,"All I know is we can't have another 4 years of:\n\n""Healthcare is too complicated""\n""Climate change is hoax""\n""Climate is the same as weather""\n""Windmills causes cancer""\n""You can kill hurricanes with a nuke""\n""Raking prevents forest fires""\n""Solid flu vaccine can help #Covid_19"" *new*",all i know is we can t have another years of n n healthcare is too complicated n climate change is hoax n climate is the same as weather n windmills causes cancer n you can kill hurricanes with a nuke n raking prevents forest fires n solid flu vaccine can help covid new
77,real,COVID-19 outbreak and occupational safety and health: check out these resources with practical information for workplaces: https://t.co/VFQ023JaKJ #COVID-19\nInfographic by @ECDC_EU https://t.co/4nCB58zVTI,covid outbreak and occupational safety and health check out these resources with practical information for workplaces covid ninfographic by ecdc eu
78,fake,Is hand sanitizer useless against coronavirus? \n\nWas a Harvard prof arrested for conspiring w/ China to create COVID-19? \n\nDid Chuck Schumer delete a tweet criticizing Trump's China travel ban? \n\nI wrote about how to spot coronavirus misinfo in your feed: https://t.co/lhVdxMA1eI,is hand sanitizer useless against coronavirus n nwas a harvard prof arrested for conspiring w china to create covid n ndid chuck schumer delete a tweet criticizing trump s china travel ban n ni wrote about how to spot coronavirus misinfo in your feed
79,real,"#Coronaviruses, including #COVID19, can create a spectrum of illness. @nrajapakseMD says, ""So the severity of illness can range from having a cold or a flu-type illness all the way to needing to be hospitalized or be in an intensive care unit."" https://t.co/5HwGeiQiOS https://t.co/jcgdApBaNK",coronaviruses including covid can create a spectrum of illness nrajapaksemd says so the severity of illness can range from having a cold or a flu type illness all the way to needing to be hospitalized or be in an intensive care unit
80,fake,Posts on Facebook falsely claim to show a screenshot a tweet by Senate Minority Leader Chuck Schumer criticizing President Donald Trump’s decision to bar travelers from China. The tweet was a fake. https://t.co/ZJ2jJTtvNm,posts on facebook falsely claim to show a screenshot a tweet by senate minority leader chuck schumer criticizing president donald trump s decision to bar travelers from china the tweet was a fake
81,real,"Terms like #epidemic, #pandemic, quarantine and incubation period have been used in relation to #COVID19. Infectious Diseases specialist @nrajapakseMD offers an explanation of terms that you may hear in the news. https://t.co/gY7kKDPOsj https://t.co/Q2GThz0guf",terms like epidemic pandemic quarantine and incubation period have been used in relation to covid infectious diseases specialist nrajapaksemd offers an explanation of terms that you may hear in the news
82,real,#SpringBreak is underway for millions of people in the U.S. and around the world. What does that mean for travelers given the #COVID19 outbreak? https://t.co/0U9fnjxuXw https://t.co/O86AVDkXTe,springbreak is underway for millions of people in the u s and around the world what does that mean for travelers given the covid outbreak
